Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,84987240,15/07/2025 18:30,16/07/2025 07:34,XAUUSD,Buy,0.050,0.00000,0.00000,3333.60000,3336.87000,0.0000,0.0000,327.0,16.35,0.08,"",0,00:13:04:20,30.9,4h 2m,964.0,2.43,366.0,18.3,-890.0,-44.5,29.1,96.9,-39.00,-1.95
,85162508,16/07/2025 04:32,16/07/2025 07:34,XAUUSD,Buy,0.050,0.00000,0.00000,3333.07000,3336.78000,0.0000,0.0000,371.0,18.55,0.09,"",0,00:03:01:14,100.0,3h 1m,0.0,0.00,371.0,18.55,0.0,0.0,100.0,100.0,0.00,0.00
,85220993,16/07/2025 07:21,16/07/2025 07:34,XAUUSD,Buy,0.100,0.00000,0.00000,3333.65000,3336.79000,0.0000,0.0000,314.0,31.40,0.15,"",0,00:00:12:15,7.7,56s,0.0,0.00,314.0,31.400000000000002,0.0,0.0,100.0,100.0,0.00,0.00
,85126925,16/07/2025 02:35,16/07/2025 07:34,XAUUSD,Buy,0.050,0.00000,0.00000,3330.40000,3336.83000,0.0000,0.0000,643.0,32.15,0.15,"",0,00:04:58:33,85.3,4h 14m,518.0,0.76,686.0,34.300000000000004,-518.0,-25.900000000000002,57.0,96.4,-43.00,-2.15
,85185525,16/07/2025 05:42,16/07/2025 06:32,XAUUSD,Buy,0.100,0.00000,0.00000,3327.99000,3333.56000,0.0000,0.0000,557.0,55.70,0.26,"",0,00:00:49:55,2.0,59s,0.0,0.00,557.0,55.7,0.0,0.0,100.0,100.0,0.00,0.00
,84993120,15/07/2025 18:32,16/07/2025 02:35,XAUUSD,Buy,0.050,0.00000,0.00000,3329.55000,3330.13000,0.0000,0.0000,58.0,2.90,0.01,"",0,00:08:03:23,47.7,3h 50m,687.0,2.40,202.0,10.100000000000001,-485.0,-24.25,29.4,79.0,-144.00,-7.20
,84996322,15/07/2025 18:32,16/07/2025 02:35,XAUUSD,Buy,0.050,0.00000,0.00000,3327.48000,3330.11000,0.0000,0.0000,263.0,13.15,0.06,"",0,00:08:02:31,65.9,5h 17m,687.0,0.68,409.0,20.450000000000003,-278.0,-13.9,59.5,78.7,-146.00,-7.30
,85030800,15/07/2025 19:16,16/07/2025 02:35,XAUUSD,Buy,0.050,0.00000,0.00000,3323.10000,3330.13000,0.0000,0.0000,703.0,35.15,0.17,"",0,00:07:18:32,100.0,7h 18m,650.0,0.00,810.0,40.5,0.0,0.0,100.0,86.8,-107.00,-5.35
,84993127,15/07/2025 18:32,16/07/2025 02:35,XAUUSD,Buy,0.050,0.00000,0.00000,3329.51000,3330.13000,0.0000,0.0000,62.0,3.10,0.01,"",0,00:08:03:15,47.7,3h 50m,687.0,2.34,206.0,10.3,-481.0,-24.05,30.0,79.0,-144.00,-7.20
,84862467,15/07/2025 16:31,15/07/2025 17:35,XAUUSD,Buy,0.050,0.00000,0.00000,3339.85000,3351.75000,0.0000,0.0000,1190.0,59.50,0.28,"",0,00:01:04:04,1.6,1m,0.0,0.00,1190.0,59.5,0.0,0.0,100.0,100.0,0.00,0.00
,84782111,15/07/2025 16:32,15/07/2025 17:35,XAUUSD,Buy,0.050,0.00000,0.00000,3338.65000,3351.76000,0.0000,0.0000,1311.0,65.55,0.31,"",0,00:01:03:19,1.6,1m,0.0,0.00,1311.0,65.55,0.0,0.0,100.0,100.0,0.00,0.00
,84865034,15/07/2025 16:32,15/07/2025 17:35,XAUUSD,Buy,0.050,0.00000,0.00000,3337.39000,3351.77000,0.0000,0.0000,1438.0,71.90,0.35,"",0,00:01:03:05,1.6,1m,0.0,0.00,1438.0,71.9,0.0,0.0,100.0,100.0,0.00,0.00
,79220604,02/07/2025 17:58,15/07/2025 17:35,VIX.R,Buy,0.100,0.00000,0.00000,19.00000,19.00000,0.0000,0.0000,0.0,71.70,0.35,"",0,12:23:36:49,,,,,,,,,,,,
,84821150,15/07/2025 16:16,15/07/2025 17:35,XAUUSD,Buy,0.100,0.00000,0.00000,3344.02000,3351.64000,0.0000,0.0000,762.0,76.20,0.37,"",0,00:01:18:39,1.3,1m,0.0,0.00,762.0,76.2,0.0,0.0,100.0,100.0,0.00,0.00
,84871999,15/07/2025 16:35,15/07/2025 17:35,XAUUSD,Buy,0.050,0.00000,0.00000,3335.52000,3351.76000,0.0000,0.0000,1624.0,81.20,0.39,"",0,00:00:59:41,1.7,1m,0.0,0.00,1624.0,81.2,0.0,0.0,100.0,100.0,0.00,0.00
,82635798,11/07/2025 03:45,15/07/2025 16:35,XAUUSD,Sell,0.050,0.00000,0.00000,3335.75000,3335.16000,0.0000,0.0000,59.0,2.95,0.01,"",0,04:12:49:43,5.9,6h 25m,4382.0,7.72,503.0,25.150000000000002,-3879.0,-193.95000000000002,11.5,89.9,-444.00,-22.20
,82182807,11/07/2025 08:26,15/07/2025 16:32,XAUUSD,Sell,0.050,0.00000,0.00000,3339.26000,3337.22000,0.0000,0.0000,204.0,10.20,0.05,"",0,04:08:05:51,1.4,1h 27m,4149.0,5.68,621.0,31.05,-3528.0,-176.4,15.0,89.9,-417.00,-20.85
,81156453,11/07/2025 08:26,15/07/2025 16:27,XAUUSD,Sell,0.050,0.00000,0.00000,3339.26000,3339.18000,0.0000,0.0000,8.0,0.40,0.00,"",0,04:08:00:49,4.4,4h 34m,4149.0,5.68,621.0,31.05,-3528.0,-176.4,15.0,85.2,-613.00,-30.65
,82866794,11/07/2025 11:06,15/07/2025 16:27,XAUUSD,Sell,0.050,0.00000,0.00000,3342.14000,3339.02000,0.0000,0.0000,312.0,15.60,0.08,"",0,04:05:20:55,0.3,18m,3240.0,10.40,312.0,15.600000000000001,-3240.0,-162.0,8.8,100.0,0.00,0.00
,82800440,11/07/2025 09:23,15/07/2025 16:27,XAUUSD,Sell,0.050,0.00000,0.00000,3342.36000,3338.92000,0.0000,0.0000,344.0,17.20,0.08,"",0,04:07:03:20,1.3,1h 20m,3873.0,4.91,655.0,32.75,-3218.0,-160.9,16.9,92.0,-311.00,-15.55
,84820666,15/07/2025 15:57,15/07/2025 16:17,XAUUSD,Sell,0.100,0.00000,0.00000,3349.00000,3345.88000,0.0000,0.0000,312.0,31.20,0.15,"",0,00:00:19:23,5.0,58s,0.0,0.00,312.0,31.200000000000003,0.0,0.0,100.0,100.0,0.00,0.00
,84816061,15/07/2025 15:54,15/07/2025 16:17,XAUUSD,Sell,0.100,0.00000,0.00000,3350.81000,3345.79000,0.0000,0.0000,502.0,50.20,0.25,"",0,00:00:23:03,4.4,1m,0.0,0.00,502.0,50.2,0.0,0.0,100.0,100.0,0.00,0.00
,84818958,15/07/2025 15:56,15/07/2025 16:16,XAUUSD,Sell,0.100,0.00000,0.00000,3350.20000,3344.11000,0.0000,0.0000,609.0,60.90,0.30,"",0,00:00:20:00,5.0,1m,0.0,0.00,609.0,60.900000000000006,0.0,0.0,100.0,100.0,0.00,0.00
,84732834,15/07/2025 15:02,15/07/2025 15:47,XAUUSD,Sell,0.100,0.00000,0.00000,3353.80000,3352.01000,0.0000,0.0000,179.0,17.90,0.09,"",0,00:00:45:44,2.3,1m,0.0,0.01,179.0,17.900000000000002,0.0,0.0,100.0,100.0,0.00,0.00
