Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USC),Min(pips),Min(USC),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USC)
,181935855,01/05/2026 09:39,01/05/2026 15:14,XAUUSD,Buy,0.500,0.00000,0.00000,4592.11000,4586.05000,0.0000,0.0000,-606.0,-303.00,-1.33,"",0,00:05:34:41,9.1,30m,2913.0,2.70,1079.0,539.5,-2913.0,-1456.5,27.0,57.8,-1685.00,-842.50
,181924824,01/05/2026 10:22,01/05/2026 15:14,XAUUSD,Buy,0.500,0.00000,0.00000,4586.53000,4586.03000,0.0000,0.0000,-50.0,-25.00,-0.11,"",0,00:04:51:33,30.0,1h 27m,2355.0,1.44,1637.0,818.5,-2355.0,-1177.5,41.0,57.7,-1687.00,-843.50
,181923080,01/05/2026 08:54,01/05/2026 15:14,XAUUSD,Buy,0.500,0.00000,0.00000,4609.30000,4586.04000,0.0000,0.0000,-2326.0,-1163.00,-4.84,"",0,00:06:19:34,0.0,0s,4632.0,5000.00,0.0,0.0,-4632.0,-2316.0,0.0,49.8,-2326.00,-1163.00
,182023783,01/05/2026 14:43,01/05/2026 15:02,XAUUSD,Sell,0.500,0.00000,0.00000,4575.61000,4575.90000,0.0000,0.0000,-29.0,-14.50,-0.06,"",0,00:00:18:55,,,,,,,,,,,,
,181972957,01/05/2026 11:33,01/05/2026 11:53,XAUUSD,Sell,0.500,0.00000,0.00000,4570.02000,4567.00000,0.0000,0.0000,302.0,151.00,0.63,"",0,00:00:19:21,,,,,,,,,,,,
,181970719,01/05/2026 11:26,01/05/2026 11:53,XAUUSD,Sell,0.500,0.00000,0.00000,4567.04000,4567.00000,0.0000,0.0000,4.0,2.00,0.01,"",0,00:00:26:25,,,,,,,,,,,,
,181970715,01/05/2026 11:26,01/05/2026 11:53,XAUUSD,Sell,0.500,0.00000,0.00000,4567.03000,4567.01000,0.0000,0.0000,2.0,1.00,0.00,"",0,00:00:26:25,,,,,,,,,,,,
,181970714,01/05/2026 11:26,01/05/2026 11:53,XAUUSD,Sell,0.500,0.00000,0.00000,4567.31000,4567.00000,0.0000,0.0000,31.0,15.50,0.06,"",0,00:00:26:26,,,,,,,,,,,,
,181970711,01/05/2026 11:26,01/05/2026 11:53,XAUUSD,Sell,0.500,0.00000,0.00000,4567.30000,4567.00000,0.0000,0.0000,30.0,15.00,0.06,"",0,00:00:26:26,,,,,,,,,,,,
,181911829,01/05/2026 07:37,01/05/2026 08:27,XAUUSD,Sell,0.500,0.00000,0.00000,4615.82000,4614.02000,0.0000,0.0000,180.0,90.00,0.38,"",0,00:00:50:23,,,,,,,,,,,,
,181884792,01/05/2026 05:22,01/05/2026 05:34,XAUUSD,Sell,0.500,0.00000,0.00000,4629.28000,4629.07000,0.0000,0.0000,21.0,10.50,0.04,"",0,00:00:11:33,,,,,,,,,,,,
,181864164,01/05/2026 04:02,01/05/2026 04:05,XAUUSD,Buy,0.500,0.00000,0.00000,4618.08000,4618.25000,0.0000,0.0000,17.0,8.50,0.04,"",0,00:00:02:51,,,,,,,,,,,,
,181755720,30/04/2026 19:16,01/05/2026 02:35,XAUUSD,Buy,0.500,0.00000,0.00000,4608.26000,4631.78000,0.0000,-33.5500,2352.0,1142.45,5.05,"",0,00:07:19:42,100.0,7h 19m,1157.0,0.00,2352.0,1176.0,0.0,0.0,100.0,100.0,0.00,0.00
,181750051,30/04/2026 18:44,01/05/2026 02:35,XAUUSD,Buy,0.500,0.00000,0.00000,4613.97000,4631.78000,0.0000,-33.5500,1781.0,856.95,3.94,"",0,00:07:51:30,100.0,7h 51m,1157.0,0.00,1781.0,890.5,0.0,0.0,100.0,100.0,0.00,0.00
,181749799,30/04/2026 18:44,01/05/2026 02:35,XAUUSD,Buy,0.500,0.00000,0.00000,4615.47000,4631.78000,0.0000,-33.5500,1631.0,781.95,3.73,"",0,00:07:51:49,100.0,7h 51m,1157.0,0.00,1631.0,815.5,0.0,0.0,100.0,100.0,0.00,0.00
,181674384,30/04/2026 16:47,01/05/2026 02:35,XAUUSD,Buy,0.500,0.00000,0.00000,4616.61000,4631.76000,0.0000,-33.5500,1515.0,723.95,3.57,"",0,00:09:48:48,85.0,8h 20m,1157.0,0.59,1515.0,757.5,-888.0,-444.0,63.0,100.0,0.00,0.00
,181596698,30/04/2026 14:40,01/05/2026 02:35,XAUUSD,Buy,0.500,0.00000,0.00000,4628.14000,4631.78000,0.0000,-33.5500,364.0,148.45,0.74,"",0,00:11:55:45,16.7,1h 59m,2041.0,5.61,364.0,182.0,-2041.0,-1020.5,15.1,100.0,0.00,0.00
,181585971,30/04/2026 14:18,01/05/2026 02:35,XAUUSD,Buy,0.500,0.00000,0.00000,4634.02000,4631.78000,0.0000,-33.5500,-224.0,-145.55,-0.72,"",0,00:12:17:44,0.0,0s,2629.0,3333.33,0.0,0.0,-2629.0,-1314.5,0.0,91.5,-224.00,-112.00
,181566649,30/04/2026 13:34,01/05/2026 02:35,XAUUSD,Buy,0.500,0.00000,0.00000,4637.80000,4631.76000,0.0000,-33.5500,-604.0,-335.55,-1.63,"",0,00:13:01:29,3.9,30m,3155.0,20.33,148.0,74.0,-3007.0,-1503.5,4.7,76.2,-752.00,-376.00
,181547642,30/04/2026 12:57,01/05/2026 02:35,XAUUSD,Buy,0.500,0.00000,0.00000,4625.45000,4631.76000,0.0000,-33.5500,631.0,281.95,1.39,"",0,00:13:38:49,32.2,4h 23m,3155.0,1.28,1383.0,691.5,-1772.0,-886.0,43.8,76.2,-752.00,-376.00
,181516654,30/04/2026 11:16,01/05/2026 02:35,XAUUSD,Buy,0.500,0.00000,0.00000,4618.08000,4631.76000,0.0000,-33.5500,1368.0,650.45,3.31,"",0,00:15:19:18,71.0,10h 52m,3564.0,0.41,2529.0,1264.5,-1035.0,-517.5,71.0,67.4,-1161.00,-580.50
,181450697,30/04/2026 08:48,30/04/2026 09:36,XAUUSD,Buy,0.500,0.00000,0.00000,4567.71000,4575.98000,0.0000,0.0000,827.0,413.50,2.15,"",0,00:00:47:59,,,,,,,,,,,,
,181440488,30/04/2026 08:14,30/04/2026 08:41,XAUUSD,Buy,0.500,0.00000,0.00000,4553.31000,4564.38000,0.0000,0.0000,1107.0,553.50,2.96,"",0,00:00:26:45,,,,,,,,,,,,
,181397925,30/04/2026 05:36,30/04/2026 06:55,XAUUSD,Sell,0.500,0.00000,0.00000,4566.21000,4557.63000,0.0000,0.0000,858.0,429.00,2.35,"",0,00:01:18:51,,,,,,,,,,,,
,181381800,30/04/2026 04:54,30/04/2026 05:28,XAUUSD,Sell,0.500,0.00000,0.00000,4581.16000,4574.17000,0.0000,0.0000,699.0,349.50,1.95,"",0,00:00:33:59,,,,,,,,,,,,
,181253922,29/04/2026 21:27,30/04/2026 02:58,XAUUSD,Sell,0.500,4561.06000,0.00000,4533.56000,4561.48000,0.0000,56.1800,-2792.0,-1339.82,-6.96,"[sl 4561.06]",0,00:05:30:38,0.0,0s,3651.0,5000.00,0.0,0.0,-3651.0,-1825.5,0.0,23.5,-2792.00,-1396.00
,181250448,29/04/2026 21:17,30/04/2026 02:58,XAUUSD,Sell,0.500,4561.10000,0.00000,4536.92000,4561.48000,0.0000,56.1800,-2456.0,-1171.82,-5.74,"[sl 4561.10]",0,00:05:40:31,0.0,0s,3315.0,3333.33,0.0,0.0,-3315.0,-1657.5,0.0,25.9,-2456.00,-1228.00
,181277788,29/04/2026 22:15,30/04/2026 02:58,XAUUSD,Sell,0.500,4561.02000,0.00000,4548.70000,4561.02000,0.0000,56.1800,-1232.0,-559.82,-2.67,"[sl 4561.02]",0,00:04:42:29,0.0,0s,2137.0,2500.00,0.0,0.0,-2137.0,-1068.5,0.0,42.3,-1232.00,-616.00
,181251199,30/04/2026 02:45,30/04/2026 02:58,XAUUSD,Sell,0.500,4560.97000,0.00000,4556.29000,4560.97000,0.0000,0.0000,-468.0,-234.00,-1.10,"[sl 4560.97]",0,00:00:12:50,,,,,,,,,,,,
,181183320,29/04/2026 18:41,29/04/2026 21:10,XAUUSD,Sell,0.500,0.00000,0.00000,4552.35000,4531.60000,0.0000,0.0000,2075.0,1037.50,4.85,"",0,00:02:28:33,100.0,2h 28m,956.0,0.00,2075.0,1037.5,0.0,0.0,100.0,100.0,0.00,0.00
,181179123,29/04/2026 18:45,29/04/2026 21:10,XAUUSD,Sell,0.500,0.00000,0.00000,4557.26000,4531.57000,0.0000,0.0000,2569.0,1284.50,6.39,"",0,00:02:24:48,100.0,2h 24m,956.0,0.00,2569.0,1284.5,0.0,0.0,100.0,100.0,0.00,0.00
,181142852,29/04/2026 17:18,29/04/2026 21:10,XAUUSD,Sell,0.500,0.00000,0.00000,4532.31000,4531.58000,0.0000,0.0000,73.0,36.50,0.18,"",0,00:03:51:50,12.5,28m,2846.0,39.06,73.0,36.5,-2846.0,-1423.0,2.5,100.0,0.00,0.00
,181124573,29/04/2026 16:54,29/04/2026 21:10,XAUUSD,Sell,0.500,0.00000,0.00000,4520.84000,4531.59000,0.0000,0.0000,-1075.0,-537.50,-2.61,"",0,00:04:16:17,0.0,0s,3993.0,5000.00,0.0,0.0,-3993.0,-1996.5,0.0,73.1,-1075.00,-537.50
,181112619,29/04/2026 16:41,29/04/2026 21:10,XAUUSD,Sell,0.500,0.00000,0.00000,4521.12000,4531.58000,0.0000,0.0000,-1046.0,-523.00,-2.48,"",0,00:04:28:24,0.0,0s,3965.0,5000.00,0.0,0.0,-3965.0,-1982.5,0.0,73.6,-1046.00,-523.00
,181101655,29/04/2026 16:33,29/04/2026 21:10,XAUUSD,Sell,0.500,0.00000,0.00000,4531.61000,4531.57000,0.0000,0.0000,4.0,2.00,0.01,"",0,00:04:37:12,11.2,31m,2916.0,769.23,4.0,2.0,-2916.0,-1458.0,0.1,100.0,0.00,0.00
,181091935,29/04/2026 16:25,29/04/2026 21:10,XAUUSD,Sell,0.500,0.00000,0.00000,4535.50000,4559.46000,0.0000,0.0000,-2396.0,0.00,0.00,"#181205265 by #181091935",0,00:04:44:54,10.0,28m,2660.0,9.58,264.0,0.0,-2527.0,-0.0,9.5,4.7,-2660.00,0.00
,181205265,29/04/2026 19:22,29/04/2026 21:10,XAUUSD,Buy,0.500,0.00000,0.00000,4559.46000,4535.50000,0.0000,0.0000,-2396.0,-1198.00,-5.34,"#181205265 by #181091935",0,00:01:47:48,,,,,,,,,,,,
,181162784,29/04/2026 18:01,29/04/2026 18:41,XAUUSD,Buy,0.500,0.00000,0.00000,4543.97000,4553.03000,0.0000,0.0000,906.0,453.00,2.19,"",0,00:00:40:02,,,,,,,,,,,,
