Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USC),Min(pips),Min(USC),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USC)
,51335280,01/05/2025 18:34,01/05/2025 23:40,XAUUSD,Buy,0.500,0.00000,3237.29000,3210.47000,3237.32000,0.0000,0.0000,2685.0,1342.50,0.90,"[tp 3237.29]",0,00:05:05:40,,,,,,,,,,,,
,51326359,01/05/2025 18:22,01/05/2025 23:40,XAUUSD,Buy,0.500,0.00000,3237.06000,3217.81000,3237.32000,0.0000,0.0000,1951.0,975.50,0.66,"[tp 3237.06]",0,00:05:18:08,,,,,,,,,,,,
,51097717,01/05/2025 13:44,01/05/2025 23:40,XAUUSD,Buy,0.500,0.00000,3237.29000,3224.92000,3237.32000,0.0000,0.0000,1240.0,620.00,0.42,"[tp 3237.29]",0,00:09:55:27,,,,,,,,,,,,
,51372627,01/05/2025 19:27,01/05/2025 21:36,XAUUSD,Sell,0.500,3222.54000,0.00000,3209.77000,3222.63000,0.0000,0.0000,-1286.0,-643.00,-0.44,"[sl 3222.54]",0,00:02:08:45,,,,,,,,,,,,
,51145650,01/05/2025 15:00,01/05/2025 19:27,XAUUSD,Buy,0.500,0.00000,0.00000,3204.46000,3209.79000,0.0000,0.0000,533.0,266.50,0.18,"",0,00:04:26:18,,,,,,,,,,,,
,51120539,01/05/2025 14:37,01/05/2025 15:00,XAUUSD,Sell,0.500,0.00000,0.00000,3222.72000,3204.44000,0.0000,0.0000,1828.0,914.00,0.62,"",0,00:00:23:01,,,,,,,,,,,,
,51082909,01/05/2025 13:25,01/05/2025 13:44,XAUUSD,Buy,0.500,0.00000,0.00000,3215.49000,3224.60000,0.0000,0.0000,911.0,455.50,0.31,"",0,00:00:19:19,,,,,,,,,,,,
,45219746,01/05/2025 13:22,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,20000.00,0,"Deposit-TH-QR-CPS-APP",0,00:00:00:00,,,,,,,,,,,,
,50858110,01/05/2025 06:57,01/05/2025 07:46,XAUUSD,Sell,0.500,0.00000,0.00000,3231.00000,3230.24000,0.0000,0.0000,76.0,38.00,0.03,"",0,00:00:49:02,,,,,,,,,,,,
,50843189,01/05/2025 06:38,01/05/2025 07:46,XAUUSD,Sell,0.500,0.00000,0.00000,3232.35000,3230.35000,0.0000,0.0000,200.0,100.00,0.08,"",0,00:01:07:51,,,,,,,,,,,,
,50843186,01/05/2025 06:38,01/05/2025 07:46,XAUUSD,Sell,0.500,0.00000,0.00000,3232.36000,3230.70000,0.0000,0.0000,166.0,83.00,0.07,"",0,00:01:07:49,,,,,,,,,,,,
,44996148,01/05/2025 06:53,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,20000.00,0,"Deposit-TH-QR-CPS-APP",0,00:00:00:00,,,,,,,,,,,,
,50809222,01/05/2025 05:51,01/05/2025 06:32,XAUUSD,Sell,0.500,0.00000,0.00000,3239.70000,3235.89000,0.0000,0.0000,381.0,190.50,0.20,"",0,00:00:41:23,,,,,,,,,,,,
,50807897,01/05/2025 05:48,01/05/2025 06:32,XAUUSD,Sell,0.500,0.00000,0.00000,3240.52000,3236.21000,0.0000,0.0000,431.0,215.50,0.22,"",0,00:00:44:31,,,,,,,,,,,,
,50795859,01/05/2025 05:29,01/05/2025 06:32,XAUUSD,Sell,0.500,0.00000,0.00000,3246.71000,3236.21000,0.0000,0.0000,1050.0,525.00,0.54,"",0,00:01:03:49,,,,,,,,,,,,
,47929143,01/05/2025 04:06,01/05/2025 05:28,XAUUSD,Buy,0.500,0.00000,0.00000,3240.80000,3246.77000,0.0000,0.0000,597.0,298.50,0.31,"",0,00:01:22:53,,,,,,,,,,,,
,44909870,01/05/2025 04:53,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,5500.00,0,"Transfer In from 143041",0,00:00:00:00,,,,,,,,,,,,
,49972575,30/04/2025 06:12,30/04/2025 18:21,USOUSD,Buy,0.500,0.00000,0.00000,60.11400,60.29500,0.0000,0.0000,18.1,90.50,0.10,"",0,00:12:08:33,,,,,,,,,,,,
,50436867,30/04/2025 17:36,30/04/2025 18:21,USOUSD,Buy,0.500,0.00000,0.00000,59.83400,60.28500,0.0000,0.0000,45.1,225.50,0.25,"",0,00:00:44:21,,,,,,,,,,,,
,50457408,30/04/2025 17:56,30/04/2025 18:21,USOUSD,Buy,0.500,0.00000,0.00000,59.58400,60.27500,0.0000,0.0000,69.1,345.50,0.38,"",0,00:00:24:51,,,,,,,,,,,,
,50455913,30/04/2025 17:55,30/04/2025 18:05,XAUUSD,Buy,0.500,0.00000,0.00000,3306.55000,3309.16000,0.0000,0.0000,261.0,130.50,0.14,"",0,00:00:10:18,,,,,,,,,,,,
,50431566,30/04/2025 17:33,30/04/2025 17:55,XAUUSD,Buy,0.500,0.00000,0.00000,3299.23000,3305.77000,0.0000,0.0000,654.0,327.00,0.36,"",0,00:00:22:03,,,,,,,,,,,,
,50433842,30/04/2025 17:34,30/04/2025 17:55,XAUUSD,Buy,0.500,0.00000,0.00000,3295.53000,3306.38000,0.0000,0.0000,1085.0,542.50,0.61,"",0,00:00:21:02,,,,,,,,,,,,
,50369424,30/04/2025 16:39,30/04/2025 17:34,XAUUSD,Sell,0.500,0.00000,0.00000,3319.49000,3295.65000,0.0000,0.0000,2384.0,1192.00,1.35,"",0,00:00:54:11,,,,,,,,,,,,
,50368767,30/04/2025 16:39,30/04/2025 17:34,XAUUSD,Sell,0.500,0.00000,0.00000,3318.47000,3295.65000,0.0000,0.0000,2282.0,1141.00,1.31,"",0,00:00:54:22,,,,,,,,,,,,
,50368766,30/04/2025 16:39,30/04/2025 17:34,XAUUSD,Sell,0.500,0.00000,0.00000,3318.47000,3295.65000,0.0000,0.0000,2282.0,1141.00,1.33,"",0,00:00:54:22,,,,,,,,,,,,
,50341205,30/04/2025 16:14,30/04/2025 17:34,XAUUSD,Sell,0.500,0.00000,0.00000,3307.13000,3295.65000,0.0000,0.0000,1148.0,574.00,0.67,"",0,00:01:19:40,,,,,,,,,,,,
,50324740,30/04/2025 15:57,30/04/2025 17:34,XAUUSD,Sell,0.500,0.00000,0.00000,3298.72000,3295.65000,0.0000,0.0000,307.0,153.50,0.18,"",0,00:01:36:08,,,,,,,,,,,,
,50368768,30/04/2025 16:39,30/04/2025 17:34,XAUUSD,Sell,0.500,0.00000,0.00000,3318.43000,3295.65000,0.0000,0.0000,2278.0,1139.00,1.36,"",0,00:00:54:21,,,,,,,,,,,,
,50368026,30/04/2025 16:38,30/04/2025 17:34,XAUUSD,Sell,0.500,0.00000,0.00000,3316.70000,3295.65000,0.0000,0.0000,2105.0,1052.50,1.27,"",0,00:00:55:19,,,,,,,,,,,,
,50315452,30/04/2025 15:48,30/04/2025 17:34,XAUUSD,Sell,0.500,0.00000,0.00000,3301.35000,3295.65000,0.0000,0.0000,570.0,285.00,0.34,"",0,00:01:45:38,,,,,,,,,,,,
,50136668,30/04/2025 11:21,30/04/2025 17:34,USOUSD,Buy,0.500,0.00000,0.00000,59.58400,59.91500,0.0000,0.0000,33.1,165.50,0.20,"",0,00:06:12:33,,,,,,,,,,,,
,50007996,30/04/2025 07:45,30/04/2025 17:34,USOUSD,Buy,0.500,0.00000,0.00000,59.85400,59.91500,0.0000,0.0000,6.1,30.50,0.04,"",0,00:09:48:45,,,,,,,,,,,,
,50096788,30/04/2025 10:44,30/04/2025 16:39,XAUUSD,Buy,0.500,0.00000,0.00000,3314.20000,3317.04000,0.0000,0.0000,284.0,142.00,0.17,"",0,00:05:54:43,,,,,,,,,,,,
,50341347,30/04/2025 16:14,30/04/2025 16:39,XAUUSD,Buy,0.500,0.00000,0.00000,3308.28000,3316.70000,0.0000,0.0000,842.0,421.00,0.51,"",0,00:00:24:46,,,,,,,,,,,,
,50284665,30/04/2025 15:22,30/04/2025 16:38,XAUUSD,Sell,0.500,3318.64000,0.00000,3288.28000,3318.65000,0.0000,0.0000,-3037.0,-1518.50,-1.82,"[sl 3318.64]",0,00:01:15:45,,,,,,,,,,,,
,50282454,30/04/2025 15:20,30/04/2025 16:38,XAUUSD,Sell,0.500,3318.43000,0.00000,3285.86000,3318.32000,0.0000,0.0000,-3246.0,-1623.00,-1.91,"[sl 3318.43]",0,00:01:17:32,,,,,,,,,,,,
,50286454,30/04/2025 15:23,30/04/2025 16:37,XAUUSD,Sell,0.500,3317.23000,0.00000,3289.24000,3317.96000,0.0000,0.0000,-2872.0,-1436.00,-1.66,"[sl 3317.23]",0,00:01:14:02,,,,,,,,,,,,
,50333527,30/04/2025 16:07,30/04/2025 16:14,XAUUSD,Buy,0.500,0.00000,0.00000,3300.66000,3307.35000,0.0000,0.0000,669.0,334.50,0.39,"",0,00:00:07:06,,,,,,,,,,,,
,50308906,30/04/2025 15:45,30/04/2025 15:48,USOUSD,Sell,0.500,0.00000,0.00000,59.74500,59.72400,0.0000,0.0000,2.1,10.50,0.01,"",0,00:00:03:23,,,,,,,,,,,,
,49546823,30/04/2025 11:14,30/04/2025 15:48,XAUUSD,Buy,0.500,0.00000,0.00000,3292.47000,3302.73000,0.0000,0.0000,1026.0,513.00,0.60,"",0,00:04:34:09,,,,,,,,,,,,
,50129841,30/04/2025 11:15,30/04/2025 15:48,XAUUSD,Buy,0.500,0.00000,0.00000,3287.73000,3302.80000,0.0000,0.0000,1507.0,753.50,0.89,"",0,00:04:32:49,,,,,,,,,,,,
,50276332,30/04/2025 15:15,30/04/2025 15:20,XAUUSD,Buy,0.500,0.00000,0.00000,3279.12000,3285.79000,0.0000,0.0000,667.0,333.50,0.39,"",0,00:00:04:35,,,,,,,,,,,,
,50210092,30/04/2025 13:25,30/04/2025 15:20,XAUUSD,Buy,0.500,0.00000,0.00000,3276.40000,3285.70000,0.0000,0.0000,930.0,465.00,0.55,"",0,00:01:55:02,,,,,,,,,,,,
,50254377,30/04/2025 14:52,30/04/2025 15:06,XAUUSD,Sell,0.500,0.00000,0.00000,3274.92000,3272.77000,0.0000,0.0000,215.0,107.50,0.13,"",0,00:00:14:14,,,,,,,,,,,,
,50204644,30/04/2025 14:02,30/04/2025 14:21,XAUUSD,Buy,0.500,0.00000,0.00000,3269.84000,3275.34000,0.0000,0.0000,550.0,275.00,0.33,"",0,00:00:18:52,,,,,,,,,,,,
,50145446,30/04/2025 11:28,30/04/2025 13:34,XAUUSD,Sell,0.500,0.00000,0.00000,3281.33000,3280.21000,0.0000,0.0000,112.0,56.00,0.07,"",0,00:02:06:11,,,,,,,,,,,,
,50145449,30/04/2025 11:28,30/04/2025 13:34,XAUUSD,Sell,0.500,0.00000,0.00000,3281.35000,3280.29000,0.0000,0.0000,106.0,53.00,0.06,"",0,00:02:06:09,,,,,,,,,,,,
,50032659,30/04/2025 08:36,30/04/2025 11:15,XAUUSD,Sell,0.500,0.00000,0.00000,3311.01000,3285.58000,0.0000,0.0000,2543.0,1271.50,1.54,"",0,00:02:38:51,,,,,,,,,,,,
,49861637,30/04/2025 02:20,30/04/2025 11:15,XAUUSD,Sell,0.500,0.00000,0.00000,3314.63000,3285.11000,0.0000,0.0000,2952.0,1476.00,1.83,"",0,00:08:54:53,,,,,,,,,,,,
,49913260,30/04/2025 04:20,30/04/2025 10:43,XAUUSD,Sell,0.500,3314.61000,0.00000,3317.82000,3314.70000,0.0000,0.0000,312.0,156.00,0.19,"[sl 3314.61]",0,00:06:23:08,,,,,,,,,,,,
,49410372,29/04/2025 10:55,30/04/2025 03:13,XAUUSD,Buy,0.500,0.00000,3327.87000,3322.57000,3327.86000,0.0000,0.0000,529.0,264.50,0.33,"[tp 3327.87]",0,00:16:18:26,,,,,,,,,,,,
,49235635,29/04/2025 06:17,30/04/2025 01:27,XAUUSD,Buy,0.500,0.00000,0.00000,3313.72000,3319.11000,0.0000,0.0000,539.0,269.50,0.34,"",0,00:19:10:06,,,,,,,,,,,,
,49651347,29/04/2025 16:50,29/04/2025 18:45,XAUUSD,Buy,0.500,0.00000,0.00000,3301.89000,3306.23000,0.0000,0.0000,434.0,217.00,0.27,"",0,00:01:55:01,,,,,,,,,,,,
,48930315,28/04/2025 18:42,28/04/2025 18:49,XAUUSD,Buy,0.500,0.00000,0.00000,3320.40000,3326.70000,0.0000,0.0000,630.0,315.00,0.40,"",0,00:00:06:52,,,,,,,,,,,,
,48858967,28/04/2025 17:34,28/04/2025 18:42,XAUUSD,Sell,0.500,0.00000,0.00000,3320.26000,3319.91000,0.0000,0.0000,35.0,17.50,0.02,"",0,00:01:08:25,,,,,,,,,,,,
,48864576,28/04/2025 17:37,28/04/2025 18:42,XAUUSD,Sell,0.500,0.00000,0.00000,3323.71000,3319.84000,0.0000,0.0000,387.0,193.50,0.24,"",0,00:01:05:04,,,,,,,,,,,,
